BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.20825698615787E-09	1E10	1E11	1E-30	5.01187233627272E-11	1E10	1E-30	1E10	1.17185111355139E-02	1E-30	9.78370177892901E-11	0.526624928554042	1E-30	9.50001785433354E-11	2.48580571394185E-02	1.17041576181397E-08	2.06065417323452E-11	0.249125404063539	2.56139413887609E-09	3.1825360923928E-11	0.431309035201663	9.93786452748756E-13	5.98345078642834E-10	1538.4589864769	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	3.28470155660029E-09	1E10	1E11	1E-30	1.00237446725454E-10	1E10	1E-30	1E10	9.67734585059313E-03	1E-30	1.35971400606934E-10	0.42619029871815	1E-30	8.3897287731166E-11	1.20591471837688E-02	1.56975460845141E-08	3.79968028958865E-11	0.420200583409778	4.37691202445824E-09	4.81510370774918E-11	0.597121322858901	6.79464316081035E-08	1.65941070229521E-12	0.062298149654946	6.88423931816149E-09	8.72775013974333E-12	0.155585123172069	1.24339216410224E-12	4.20922787371644E-10	371.003992686851	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	4.72751075141825E-09	1E10	1E11	1E-30	5.07308927627602E-11	1E10	1E-30	1E10	8.05751576817669E-03	1E-30	1.37294606113854E-10	0.375164844573298	1E-30	8.82718915367152E-11	0.010049612754661	2.53151959605331E-08	3.6340916815869E-11	0.27393501529975	6.72311698045316E-09	4.62336368158385E-11	0.460330365972396	8.3602863733788E-09	1.12080319351436E-11	0.123741450284688	1.1327779790463E-12	5.03878891524132E-10	470.315872847629	6.87925184699919E-13	4.54463367719024E-12	125892.541179417	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	4.72751075141825E-09	1E10	1E11	1E-30	5.07308927627602E-11	1E10	1E-30	1E10	8.05751576817669E-03	1E-30	1.37294606113854E-10	0.375164844573298	1E-30	8.82718915367152E-11	0.010049612754661	2.53151959605331E-08	3.6340916815869E-11	0.27393501529975	6.72311698045316E-09	4.62336368158385E-11	0.460330365972396	8.3602863733788E-09	1.12080319351436E-11	0.123741450284688	1.1327779790463E-12	5.03878891524132E-10	470.315872847629	6.87925184699919E-13	4.54463367719024E-12	125892.541179417	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	6.64521310249951E-09	1E10	1E11	1E-30	1.99526231496888E-11	1E10	1E-30	1E10	0.01	1E-30	1.13662011333022E-10	0.362610937898265	1E-30	1.22069574648473E-10	0.016446430522058	3.6211732803078E-08	3.29641635208264E-11	0.182648646618556	8.82293966326338E-09	4.24660072657274E-11	0.316068059385478	8.07821995393898E-13	6.44990337702483E-10	1353.65377694426	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	6.70053776361165E-09	1E10	1E11	1E-30	7.94328234724282E-11	1E10	1E-30	1E10	8.53199368638018E-03	1E-30	1.15548008217547E-10	0.36388400398564	1E-30	9.65819344109051E-11	0.015734164415647	3.97421009243203E-08	2.94279396295631E-11	0.154852751323307	7.49609598210153E-09	5.39714405470262E-11	0.300075808779251	1.37461921409929E-08	8.06474136798873E-12	8.65309751284811E-02	1.15919392606798E-12	5.55685756415929E-10	1207.72083980913	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.00299801709403E-08	1E10	1E11	1E-30	1.06898104475112E-10	1E10	1E-30	1E10	7.50900984025791E-03	1E-30	1.33450866553622E-10	0.308598199653819	1E-30	1.08709900264643E-10	1.08472436135459E-02	5.15509673605329E-08	3.75544325866534E-11	0.21155919738988	1.36386674817826E-08	5.17456074537397E-11	0.321885356363758	7.28401425793827E-08	4.82329221363086E-12	4.16246458997883E-02	2.21317952532505E-08	8.83058409057386E-12	0.102176389402443	1.22360649629042E-12	4.40739776876284E-10	752.343464390494	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.00299801709403E-08	1E10	1E11	1E-30	1.06898104475112E-10	1E10	1E-30	1E10	7.50900984025791E-03	1E-30	1.33450866553622E-10	0.308598199653819	1E-30	1.08709900264643E-10	1.08472436135459E-02	5.15509673605329E-08	3.75544325866534E-11	0.21155919738988	1.36386674817826E-08	5.17456074537397E-11	0.321885356363758	7.28401425793827E-08	4.82329221363086E-12	4.16246458997883E-02	2.21317952532505E-08	8.83058409057386E-12	0.102176389402443	1.22360649629042E-12	4.40739776876284E-10	752.343464390494	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.46585583143372E-08	1E10	66666666666.6667	1E-30	5E-12	1E10	1E-30	1E10	8.39760357386588E-03	1E-30	1.26406125068958E-10	0.239174914097786	1E-30	1.12882182153015E-10	5.45090646007862E-03	5.8119999117421E-08	3.48457795064127E-11	0.133239169251933	1.61243667347883E-08	4.66956919676744E-11	0.235148370655165	8.82664811904659E-08	2.30481948307865E-12	2.55141472738743E-02	9.44218844962453E-13	5.62960290177617E-10	1856.43268182095	1.08114272188974E-11	2.90144741024921E-11	14.7209928781379	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
