BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-10	1E10	1E11	1E-30	7.37985460808022E-11	1E10	1E-30	1E10	0.11	1E-30	1.43628944499973E-11	0.314358164486091	5.90847824990454E-10	9.54572790146811E-12	0.715128908801837	7.23690954377048E-11	2.36984008681195E-11	1.7100527879331	2.64541569427554E-12	7.16627566048377E-11	9.04922356426035	6.38853853400517E-13	2.96232929038841E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.2E-10	1E10	1E11	1E-30	7.52215725621667E-11	1E10	1E-30	1E10	0.1	3.89970922559844E-10	1.82059314683718E-11	1.12525658375834	9.55748245624494E-11	2.4268805746169E-11	1.98972456672314	1.37266937397929E-12	2.29297029909915E-10	89.2892885226657	2.13593795018301E-12	1.04944973972468E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.5E-10	1E10	1E11	1E-30	1.86852694716302E-10	1E10	1E-30	1E10	9.34491871181833E-02	4.5220710801514E-10	1.98508900490193E-11	0.969818495206863	1.13352707873212E-10	2.46345493584086E-11	1.74591465563436	1.2175927039889E-11	3.85251613583902E-11	2.18371943767987	1.09315430336573E-12	2.07185149339169E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.8E-10	1E10	1E11	1E-30	2.09330342313501E-10	1E10	1E-30	1E10	0.085	1E-30	2.47113320842329E-11	0.655730656210194	6.34830972388198E-10	1.56256530789368E-11	0.725177691212585	1.32639402317026E-10	2.37463724016476E-11	1.68034031860057	1.79995186882292E-12	1.49723297757675E-10	1E5	4.0932246249658E-12	6.06475737723661E-11	10.4944774293887	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.2E-10	1E10	1E11	1E-30	2.78873838257643E-11	1E10	1E-30	1E10	7.72007080886243E-02	5.84391163454925E-10	2.44632086402586E-11	0.898757822994773	1.7055388965888E-10	2.79099124715132E-11	1.58688219345221	3.45271532116175E-10	5.94569592739465E-12	0.376770751713841	7.61635615741297E-11	1.40252424249404E-11	1.0972998059602	2.81057835569273E-11	1.64238276452955E-11	2.01578650540989	5.26422843122819E-13	3.46111117753053E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.7E-10	1E10	1E11	1E-30	6.3416083517065E-11	1E10	1E-30	1E10	0.07	1E-30	3.9998229392208E-11	1.2470104637414	8.63805006072336E-10	2.3272052197612E-11	1.01792743961647	2.49768792285962E-10	2.7714198219222E-11	1.53709170786241	1.32189234550645E-09	2.3153402075743E-12	0.268100035121937	5.1450846577921E-10	3.30702898589727E-12	0.431544598274459	5.91627449141201E-12	5.26884934577472E-11	13.11504063422	1.08206658736243E-12	2.18759715906673E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	3.3E-10	1E10	1E11	1E-30	1.31240410809707E-10	1E10	1E-30	1E10	7.44303636445688E-02	1E-30	9.16484765125297E-12	2.81498204793689E-02	7.76751997445672E-10	1.54467090682854E-11	0.265681865437648	1.01690418564091E-10	2.86474963256217E-11	0.881109733706512	3.27173933833824E-10	3.00887441277991E-12	0.567473874518233	7.37505663851185E-12	4.30073438308047E-11	8.97479993336415	8.08402556387835E-13	3.21222743864156E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.9E-10	1E10	1E11	1E-30	3.534663633892E-11	1E10	1E-30	1E10	0.065	1.15203849220947E-09	1.48293641603311E-11	0.286897531432628	2.30902351336716E-10	2.21334460464919E-11	0.720756654489317	7.84958516834726E-10	3.61971843576016E-12	0.29145720355543	7.94794512107747E-13	4.31277860463782E-10	672.323713383677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.7E-10	1E10	1E11	1E-30	1.81588422927853E-11	1E10	1E-30	1E10	0.06	1E-30	4.80561353280543E-11	1.43785144851026	1.37112646785997E-09	1.74472592019894E-11	0.285756492847376	2.63024934105196E-10	2.63514573046816E-11	0.611055216702792	2.12194178755088E-11	2.10473726411321E-11	2.58961015770059	5.31336202179962E-13	3.93800041542993E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	5.6E-10	1E10	1E11	1E-30	8.58615572336048E-11	1E10	1E-30	1E10	0.05	1.76064594740877E-09	1.88730882397984E-11	0.350631494589349	3.10077910579322E-10	3.29663002729393E-11	0.710422259521985	2.63815891375236E-10	1.07652808536253E-11	0.557915283458772	3.64206666617661E-12	8.60443178931501E-11	27.7033463659996	1.21940939599467E-12	2.53746896478688E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	6.8E-10	1E10	1E11	1E-30	3.19255791466929E-10	1E10	1E-30	1E10	0.045	1E-30	6.53221582425287E-11	1.48706718021718	2.07286307408358E-09	2.23572965660371E-11	0.416826846625585	5.36953137499324E-10	2.74742411864752E-11	0.667296244305762	3.55526177471848E-12	7.25266214269832E-11	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	8.2E-10	1E10	1E11	1E-30	2.17685445511813E-10	1E10	1E-30	1E10	0.04	1E-30	3.66323107300813E-11	0.578092967942315	3.2308817746294E-09	1.80678548094197E-11	0.349765716154599	6.15811785025294E-10	3.41325842264618E-11	0.696017746155026	6.71782877414906E-12	4.56119706948664E-11	11.653059153324	1.92259563120294E-12	1.3081643969453E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	9.81417817066685E-10	1E10	1E11	1E-30	3.16227766016838E-11	1E10	1E-30	1E10	2.28345333659488E-02	1.24369877839945E-08	8.79737471827524E-11	2.64513894541142E-02	3.71806399529306E-09	1.31845171592189E-11	0.136714665301802	5.4861574412399E-10	2.52697198946887E-11	0.33408946608462	4.72475811455006E-12	5.27673807459267E-11	0.820472931777002	5.35034882640426E-13	4.1880212369536E-10	91201.083935591	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
14	1.1729972649913E-09	1E10	1E11	1E-30	2.04743564304547E-10	1E10	1E-30	1E10	0.02	1E-30	7.2921446243332E-11	3.42887165290411E-02	5.93938253161479E-09	1.11185828557278E-11	0.163604092758139	7.49687311882163E-10	2.51092694744387E-11	0.370701541817754	1.05703497214539E-12	2.13917903783322E-10	1E5	3.90665526694519E-12	5.01696633174827E-11	1.12708882124486	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
15	1.49239616315555E-09	1E10	1E11	1E-30	3.98107170553497E-11	1E10	1E-30	1E10	1.37787358362103E-02	1E-30	5.97745102204985E-11	0.517602268165217	1E-30	7.29894578797201E-11	2.44763927537681E-02	9.63641488641757E-09	9.85970931594266E-12	0.138089827984878	1.46085108647515E-09	2.03460014511044E-11	0.334882138905898	1.82264764029077E-12	1.96361424239531E-10	169.5777946208	1.47857637684907E-12	1.92839647217256E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
