BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.2E-10	1E10	1E10	1E-30	1E-12	1E10	1E-30	1E10	0.12	1E-30	1.12479205630904E-10	6.05766593299997	6.68901783669251E-13	4.16137177254036E-10	1E10	1.0016903533407E-11	3.95117984597646E-11	6.08348710086455	1.48052100686858E-10	2.8503193469219E-11	1.41757293045758	1.3080521135633E-09	8.60662138523298E-12	0.336365440903595	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.5E-10	1E10	1E10	1E-30	3.37790140908693E-10	1E10	1E-30	1E10	9.51332684678457E-02	1E-30	8.52311317108697E-11	1.91184815062737	1.88641459992323E-09	7.9135594678119E-12	0.364686044684592	3.05768810201867E-10	1.88897556337416E-11	0.991243069044186	3.22289014046253E-11	1.24753923197392E-11	2.46913385432763	2.0095193155446E-12	1.23579919086367E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.8E-10	1E10	1E10	1E-30	5E-11	1E10	1E-30	1E10	0.08	1E-30	1.23345004883803E-10	4.64999713439943	8.18472914358461E-13	3.29E-10	1E10	3.17591640513282E-11	1.24620998513445E-11	2.3386102561195	2.69604759653913E-10	2.89979767977056E-11	1.31847138290236	1.22652274165421E-09	1.56159704121833E-11	0.619314352426577	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.2E-10	1E10	1E10	1E-30	2.59892876493706E-10	1E10	1E-30	1E10	9.53687352286137E-02	1.60787484876007E-09	1.25641108032186E-11	0.289816298759958	2.00297186186292E-10	3.58508742434788E-11	1.08212521913344	1.70195660806668E-10	1.32461655341821E-11	0.694157198794048	2.01758248287181E-11	2.44094131201177E-11	1.39656386373055	6.58737918183447E-13	2.83567443137959E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.7E-10	1E10	1E10	1E-30	2E-12	1E10	1E-30	1E10	0.09	1E-30	1.05059050232146E-10	4.95079110603645	6.54976879822157E-13	4.29E-10	1E10	1.61002720654303E-11	2.45825581079896E-11	4.61310880178799	8.14514330201781E-10	3.51794680975443E-12	0.244248224356697	2.92135843599121E-10	3.60904270459449E-11	0.912630661528348	3.06658154567259E-09	8.60069593485296E-12	0.310570561332907	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.7E-10	1E10	1E10	1E-30	2E-12	1E10	1E-30	1E10	0.09	1E-30	1.05059050232146E-10	4.95079110603645	6.54976879822157E-13	4.29E-10	1E10	1.61002720654303E-11	2.45825581079896E-11	4.61310880178799	8.14514330201781E-10	3.51794680975443E-12	0.244248224356697	2.92135843599121E-10	3.60904270459449E-11	0.912630661528348	3.06658154567259E-09	8.60069593485296E-12	0.310570561332907	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	3.3E-10	1E10	1E10	1E-30	1.2614127649275E-10	1E10	1E-30	1E10	8.20085529161721E-02	1E-30	9.00865120986428E-11	1.74194303652275	4.34302837098324E-09	8.34890430953425E-12	0.250587414254042	5.72249704319014E-10	2.58560989194337E-11	0.866392422584893	5.46877119827689E-13	3.45287084153226E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.3E-10	1E10	1E10	1E-30	1.2614127649275E-10	1E10	1E-30	1E10	8.20085529161721E-02	1E-30	9.00865120986428E-11	1.74194303652275	4.34302837098324E-09	8.34890430953425E-12	0.250587414254042	5.72249704319014E-10	2.58560989194337E-11	0.866392422584893	5.46877119827689E-13	3.45287084153226E-10	1E5	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.9E-10	1E10	1E10	1E-30	2E-11	1E10	1E-30	1E10	0.06	1E-30	5.49264293428771E-11	0.760326932328804	9.78460936424872E-13	3.85007390976071E-10	320.281042296785	7.59414157623934E-10	7.12714707358773E-12	0.261969936783016	6.21631722323193E-10	2.82972741569545E-11	0.742937536224873	2.68607693123847E-09	1.92453465680663E-11	0.570573068059184	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	3.9E-10	1E10	1E10	1E-30	2E-11	1E10	1E-30	1E10	0.06	1E-30	5.49264293428771E-11	0.760326932328804	9.78460936424872E-13	3.85007390976071E-10	320.281042296785	7.59414157623934E-10	7.12714707358773E-12	0.261969936783016	6.21631722323193E-10	2.82972741569545E-11	0.742937536224873	2.68607693123847E-09	1.92453465680663E-11	0.570573068059184	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
