BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.01139839440037E-06	1E10	5E7	1E-30	7.42101020797792E-11	1E10	1E-30	1E10	3.95140651612182E-03	2.826916741662E-05	1E10	236.257638717773	1.58177484951683E-04	1E10	1.59934681685278	1.60030030436004E-04	1E10	0.145110788703233	1.34741192374905E-04	1E10	1.68036686722961E-02	1.32426354555977E-04	1E10	1.80421051683443E-03	1E-30	1.84772785604794E-10	3.32251203439648E-02	1E-30	1.31542568508846E-11	2.59357105655916E-02	3.3923521348945E-06	4.78423027028119E-11	1.84815538523132E-02	1.96359932363215E-06	3.6685667356689E-11	1.81899109690772E-02	1.19177128102758E-11	9.44033445952785E-11	9.28461286655495	1.86976240113022E-12	1.62114471883116E-10	46.3693222021814	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.85074137353481E-06	1E10	22727272.7272727	1E-30	4.56059752082726E-11	1E10	1E-30	1E10	4.83375018025891E-03	1.7693976280537E-05	1E10	386.254396858233	5.66607139073032E-05	1E10	8.48729725737177	4.91968127172847E-05	1E10	0.98665591232515	3.91412582836883E-05	1E10	0.122578121914922	2.91592429697937E-05	1E10	1.64416291230113E-02	1E-30	7.29793569169607E-12	4.41409953330558E-02	1E-30	2.21851163788664E-11	3.12332890158762E-02	1E-30	2.40198069755301E-10	3.07801542075843E-02	5.46105951406702E-06	4.73055599368325E-11	1.20062883994065E-02	2.77785115490667E-06	4.64819915157135E-11	1.18067112914907E-02	8.94337343035753E-12	8.6401028039957E-11	10.1917509464881	1.61233859567328E-12	1.32851478815698E-10	72.9208871329847	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	2.83375936874113E-06	1E10	10638297.8723404	1E-30	1.17604489683791E-10	1E10	1E-30	1E10	4.3777860550387E-03	5.4317834070402E-05	1E10	97.6689306656401	8.82097647356859E-05	1E10	4.58804940266503	8.1373155846483E-05	1E10	0.503334492691016	6.62129122162922E-05	1E10	6.09898731561818E-02	5.3064352920075E-05	1E10	7.45642729123781E-03	1E-30	3.09180039785512E-11	3.59607587296736E-02	1E-30	2.29731846121464E-10	2.27560925096177E-02	9.79802187005958E-06	4.27204055117725E-11	6.69059717065283E-03	3.73252486312665E-06	5.26936217194131E-11	8.25692755614405E-03	8.4887378284833E-12	1.11878192106544E-10	14.043286320648	3.16671348630344E-12	1.06773167933132E-10	29.8789070144213	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	7.07637260073691E-06	1E10	5E6	1E-30	1.87168989664642E-10	1E10	1E-30	1E10	3.12063730934724E-03	3.58718233768455E-04	1E10	10.5102405672224	4.68480094257886E-04	1E10	1.12822618174145	5.185345742045E-04	1E10	0.18512763176085	8.43936662222931E-04	1E10	4.10534475467017E-02	3.69444882551589E-04	1E10	2.53306673568731E-02	2.35566280994748E-04	1E10	5.47534045588796E-03	1E-30	1.7638297794332E-11	0.100114095230623	1E-30	2.35874788807242E-11	2.01404890271621E-02	1E-30	2.71370692541285E-10	1.69164625001621E-02	1.61994380527735E-05	8.0792856447586E-11	5.8942758944807E-03	9.59443194656157E-06	5.88044292686669E-11	5.18013199306985E-03	8.27803649352336E-12	7.57413567645417E-11	20.2762747627108	7.43507863923447E-12	4.89294085008749E-11	12.9182777420106	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	8.64396807519423E-06	1E10	5E6	1E-30	1.11394005688898E-10	1E10	1E-30	1E10	2.17645947494936E-03	3.36639969299376E-04	1E10	16.8862493662379	5.14209781658797E-04	1E10	1.17736500058712	5.77372091169838E-04	1E10	9.22815100259725E-02	5.76829819838497E-04	1E10	8.52653203394635E-03	5.41869436820931E-04	1E10	1.47168165471628E-03	1E-30	9.28128529359551E-12	0.117777567703195	1E-30	3.87426345774131E-11	2.81057112187565E-02	1E-30	3.37699855943767E-10	1.45518867623225E-02	2.14103747422112E-05	6.85231678091409E-11	4.16969124922737E-03	3.41196679186458E-05	2.29554534226158E-11	3.1573410298243E-03	6.71673930723974E-12	8.80762343407376E-11	10.979189086732	5.19671356008275E-12	6.19882114140255E-11	19.2257220421039	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	8.64396807519423E-06	1E10	5E6	1E-30	1.11394005688898E-10	1E10	1E-30	1E10	2.17645947494936E-03	3.36639969299376E-04	1E10	16.8862493662379	5.14209781658797E-04	1E10	1.17736500058712	5.77372091169838E-04	1E10	9.22815100259725E-02	5.76829819838497E-04	1E10	8.52653203394635E-03	5.41869436820931E-04	1E10	1.47168165471628E-03	1E-30	9.28128529359551E-12	0.117777567703195	1E-30	3.87426345774131E-11	2.81057112187565E-02	1E-30	3.37699855943767E-10	1.45518867623225E-02	2.14103747422112E-05	6.85231678091409E-11	4.16969124922737E-03	3.41196679186458E-05	2.29554534226158E-11	3.1573410298243E-03	6.71673930723974E-12	8.80762343407376E-11	10.979189086732	5.19671356008275E-12	6.19882114140255E-11	19.2257220421039	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	8.64396807519423E-06	1E10	5E6	1E-30	1.11394005688898E-10	1E10	1E-30	1E10	2.17645947494936E-03	3.36639969299376E-04	1E10	16.8862493662379	5.14209781658797E-04	1E10	1.17736500058712	5.77372091169838E-04	1E10	9.22815100259725E-02	5.76829819838497E-04	1E10	8.52653203394635E-03	5.41869436820931E-04	1E10	1.47168165471628E-03	1E-30	9.28128529359551E-12	0.117777567703195	1E-30	3.87426345774131E-11	2.81057112187565E-02	1E-30	3.37699855943767E-10	1.45518867623225E-02	2.14103747422112E-05	6.85231678091409E-11	4.16969124922737E-03	3.41196679186458E-05	2.29554534226158E-11	3.1573410298243E-03	6.71673930723974E-12	8.80762343407376E-11	10.979189086732	5.19671356008275E-12	6.19882114140255E-11	19.2257220421039	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	7.02983359292382E-06	1E10	5E6	1E-30	1.4196683417367E-10	1E10	1E-30	1E10	3.01703862345911E-03	1.74909473447164E-04	1E10	30.3309172749434	1.95995458301863E-04	1E10	2.25408419754476	1.88835701763053E-04	1E10	0.22536426402142	1.55977464017553E-04	1E10	2.57134409572396E-02	1.36542998965587E-04	1E10	3.08787351539332E-03	1E-30	1.55153531188089E-11	0.105401477801609	1E-30	3.9236269394481E-11	0.031434133858281	1E-30	3.62049781575806E-10	1.71368410699018E-02	1.61327166849097E-05	7.22498896914367E-11	4.78187667857789E-03	3.70183259796915E-05	1.70572991220218E-11	2.87992286301857E-03	7.97692963626189E-12	8.679214244804E-11	10.7065754145284	7.81918836063812E-12	4.01874680266077E-11	17.6380173235002	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.70206181946941E-05	1E10	2272727.27272727	1E-30	1.60118967609736E-10	1E10	1E-30	1E10	2.11079627614133E-03	6.6731167870997E-04	1E10	7.95005533244324	7.65010572702281E-04	1E10	0.774178575972406	7.02564852675535E-04	1E10	9.99484689284272E-02	6.44908017255839E-04	1E10	1.24198261841337E-02	6.19122678860411E-04	1E10	1.96857386104605E-03	1E-30	1.61503900270339E-11	5.44233395466582E-02	1E-30	3.65632791349571E-11	2.01523071511049E-02	1E-30	3.36699507653957E-10	1.33861029085961E-02	5.82675704631975E-05	6.4082856801607E-11	3.34594591041664E-03	2.26350936830075E-05	8.310135625701E-11	3.60655849411557E-03	4.76510898329101E-12	8.45808830670639E-11	14.7265955425725	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
