BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6.77514571214391E-08	1E10	1470588235.29412	1E-30	2.22099034034888E-12	1E10	1E-30	1E10	3.47995348555451E-02	5.23123852292191E-06	1E10	0.251058056272881	1.07938215243912E-05	1E10	1.60675218675417E-02	1E-30	1.40995478422185E-10	9.86907770657696E-02	1E-30	1.21299796987316E-11	2.24930461306981E-03	2.28842705616318E-07	3.15150424156509E-11	3.58560674989512E-02	5.23000005052263E-12	9.62042044531979E-10	104.099087936528	6.00566346858015E-12	5.82872641029568E-10	41.2959346164894	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	9.75987287974207E-08	1E10	1E9	1E-30	1E-11	1E10	1E-30	1E10	8E-3	8.56983355877667E-06	1E10	0.265307608202194	1.08735479179591E-05	1E10	3.65922292090676E-02	8.20487615947475E-06	1E10	8.43374110703605E-03	1.45895019180155E-06	1E10	7.03797902240865E-03	1E-30	1.98295911305267E-10	0.149511594766445	3.53379015514194E-12	3.68809614198045E-10	43.214296032267	1.91637675071163E-11	1.57167727633171E-10	13.0866546571905	8.24125372070439E-08	5.02132511789284E-11	6.19742691947171E-02	1.55051073539314E-07	8.83544798672639E-11	0.079123563932562	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.4540778817528E-07	1E10	666666666.666667	1E-30	1.15224699825104E-12	1E10	1E-30	1E10	5.74472070360135E-03	1.30828463083271E-05	1E10	8.85072638782041E-02	3.50446546526668E-06	1E10	0.020577785072853	1E-30	7.41518832411285E-12	0.30120296213511	1E-30	1.68595487172248E-10	9.94148759550668E-02	1E-30	1.05572824903399E-09	2.02123586244554E-02	4.02962918221403E-07	4.92116940552863E-11	3.55016107934485E-02	1.36835556429149E-07	4.48768425882659E-11	4.31259451424778E-02	4.68966405614482E-12	9.75227416979296E-10	174.445835231094	7.17597472580813E-12	4.60539158384116E-10	34.0730975762264	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.35423742170054E-07	1E10	666666666.7	1E-30	1.26517386286045E-12	1E10	1E-30	1E10	0.013866313661212	1.30439079089652E-05	1E10	0.100119968199427	9.89140515395517E-06	1E10	1.13184421623893E-02	3.75543483930095E-05	1E10	8.40847622804477E-03	1E-30	9.3255522670098E-12	9.49008440967651E-02	1E-30	1.45231613991063E-10	5.05184073922745E-02	1E-30	7.89297667368649E-10	1.21672614556368E-02	3.53304799143766E-07	1.51755842022792E-10	9.87753056181263E-02	1.51291234120959E-07	4.67362933599445E-11	5.18476203838632E-02	5.16770836819619E-12	8.75394439166223E-10	83.5452312124382	6.12933551917846E-12	5.20947774760504E-10	47.0393292659444	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.20357465070518E-07	1E10	454545454.545455	1E-30	9.07814769127343E-12	1E10	1E-30	1E10	1.82571414318452E-02	1.70613616569879E-05	1E10	6.43159189052921E-02	1E-30	2.18155948022934E-10	0.104241312492786	1E-30	8.32473050900538E-12	6.67107382051159E-02	1E-30	6.49593884360952E-11	6.61095305872089E-03	6.25424307538268E-07	6.55852074618524E-11	4.68509160705078E-02	1.77803640148724E-07	7.29109264511255E-11	5.77750373588831E-02	2.89407137171447E-12	1.25475280069952E-09	499.708280288221	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.94583445092028E-07	1E10	454545454.5	1E-30	2.13992062896014E-11	1E10	1E-30	1E10	1.78495751589978E-02	1.58027113017759E-05	1E10	0.087417938732619	9.10922993760166E-05	1E10	2.06584120905751E-03	1E-30	2.00044377081014E-10	0.146249386692096	1E-30	1.45962608020415E-11	0.113198114045747	1E-30	5.28285977309073E-11	2.64991434573552E-03	4.46011554247011E-07	1.59910080726603E-10	0.118812296577086	1.65685049575609E-07	8.32531828723067E-11	6.29383552323332E-02	9.00130785188295E-08	4.49604943807005E-11	4.14370574398566E-02	3.22011542508888E-12	1.12902963548579E-09	249.819795516371	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.88604950795094E-07	1E10	303030303	1E-30	4.71656523356368E-12	1E10	1E-30	1E10	1.48016673671951E-02	2.59619952090231E-05	1E10	4.89800482905543E-02	1E-30	1.64677778651156E-11	0.384321423617294	1E-30	1.59964430539119E-10	7.97940159242602E-02	1E-30	6.94547677102753E-11	3.77849563543522E-03	6.79389338162575E-07	1.70294217083377E-10	9.62045896138136E-02	2.46416207972844E-07	8.10396988679616E-11	5.03362631977271E-02	1.7307178855172E-07	3.32884180944979E-11	2.71787916081713E-02	5.06628087658429E-12	8.21607348408902E-10	126.870754236223	6.28083811738514E-12	4.85325158606037E-10	42.7910212969823	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.26848599826411E-07	1E10	303030303	1E-30	3.35299100572445E-12	1E10	1E-30	1E10	0.021376788847609	2.95703432274869E-05	1E10	4.72405644461916E-02	1E-30	1.07025316695511E-10	8.02259887094548E-02	1E-30	1.81755064730859E-10	2.15931040790945E-02	2.32838737391842E-07	6.6571394056836E-11	1.68004133735852E-02	5.2126100327668E-12	9.4034593503157E-10	121.708235919499	1.22195506418376E-11	3.04289979895776E-10	35.9186468806915	2.73561663256882E-11	1.13054447392551E-10	22.1472581402619	4.04627350804501E-11	6.35751877653899E-11	11.3584734614287	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.29159271705331E-07	1E10	212765957.4	1E-30	1.0365940893342E-11	1E10	1E-30	1E10	0.013039601670046	3.78388745779726E-05	1E10	4.23076656441306E-02	1E-30	5.15358776702488E-12	0.103737371540018	1E-30	2.22696848817737E-10	7.57586904462244E-02	1E-30	9.01721908669101E-11	3.00011204350421E-03	7.78810616354361E-07	2.11511641215771E-10	9.51926896926154E-02	5.53981176203844E-07	7.95455553204981E-11	4.61938054991219E-02	1.65627339353104E-06	1.67018953554839E-11	2.02167421489528E-02	2.21858988710883E-07	5.27943009728028E-11	2.78387795943175E-02	2.78510123465575E-12	1.1749259061195E-09	320.173067322139	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
