BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.31E-15	1E-30	1E-10	1E10	2.56E-9	0.0492	1E10	1E-30	1630	1E10	8.11E-8	344	1E10	2.44E-8	18	1E10	1E-9	0.0251	6.69E-8	1.85E-15	252	6.24E-10	4.71E-15	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.31E-15	1E-30	1E-10	1E10	2.56E-9	0.0492	1E10	1E-30	1630	1E10	8.11E-8	344	1E10	2.44E-8	18	1E10	1E-9	0.0251	6.69E-8	1.85E-15	252	6.24E-10	4.71E-15	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	2.31E-15	1E-30	1E-10	1E10	2.56E-9	0.0492	1E10	1E-30	1630	1E10	8.11E-8	344	1E10	2.44E-8	18	1E10	1E-9	0.0251	6.69E-8	1.85E-15	252	6.24E-10	4.71E-15	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.59E-15	1E-30	1E-10	1E10	1.62E-8	0.0492	1E10	1E-30	1560	1E10	5.88E-8	249	1E10	1.43E-8	10.6	1E10	8.71E-10	0.0148	8.82E-8	1.47E-15	325	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	2.59E-15	1E-30	1E-10	1E10	1.62E-8	0.0492	1E10	1E-30	1560	1E10	5.88E-8	249	1E10	1.43E-8	10.6	1E10	8.71E-10	0.0148	8.82E-8	1.47E-15	325	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.59E-15	1E-30	1E-10	1E10	1.62E-8	0.0492	1E10	1E-30	1560	1E10	5.88E-8	249	1E10	1.43E-8	10.6	1E10	8.71E-10	0.0148	8.82E-8	1.47E-15	325	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2.59E-15	1E-30	1E-10	1E10	1.34E-8	0.0492	1E10	1E-30	1600	1E10	7.93E-8	238	1E10	1.5E-8	11.1	1E10	1E-9	0.0281	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	2.59E-15	1E-30	1E-10	1E10	1.73E-9	0.0143	1E10	1E-30	2150	1E10	3.54E-8	128	1E10	1.5E-8	6.11	1E10	3.09E-9	0.0288	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	2.59E-15	1E-30	1E-10	1E10	1.73E-9	0.0143	1E10	1E-30	2150	1E10	3.54E-8	128	1E10	1.5E-8	6.11	1E10	3.09E-9	0.0288	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	2.59E-15	1E-30	1E-10	1E10	1.73E-9	0.0143	1E10	1E-30	2150	1E10	3.54E-8	128	1E10	1.5E-8	6.11	1E10	3.09E-9	0.0288	8.23E-8	1.5E-15	310	1.8E-9	1.36E-14	58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	2.59E-15	1E-30	1E-10	1E10	4.99E-9	0.0122	1E10	1E-30	2360	1E10	5.12E-8	143	1E10	1.5E-8	4.13	1E10	2.14E-9	0.0524	8.23E-8	1.5E-15	310	7.51E-10	3.41E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	2.59E-15	1E-30	1E-10	1E10	4.99E-9	0.0122	1E10	1E-30	2360	1E10	5.12E-8	143	1E10	1.5E-8	4.13	1E10	2.14E-9	0.0524	8.23E-8	1.5E-15	310	7.51E-10	3.41E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	2.59E-15	1E-30	1E-10	1E10	4.99E-9	0.0122	1E10	1E-30	2360	1E10	5.12E-8	143	1E10	1.5E-8	4.13	1E10	2.14E-9	0.0524	8.23E-8	1.5E-15	310	7.51E-10	3.41E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	2.59E-15	1E-30	1E-10	1E10	4.35E-9	0.022	1E10	1E-30	2710	1E10	6.01E-8	168	1E10	2.17E-8	7.01	1E10	2.69E-9	0.0416	8.23E-8	1.5E-15	310	7E-10	3.19E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	2.59E-15	1E-30	1E-10	1E10	4.35E-9	0.022	1E10	1E-30	2710	1E10	6.01E-8	168	1E10	2.17E-8	7.01	1E10	2.69E-9	0.0416	8.23E-8	1.5E-15	310	7E-10	3.19E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	2.59E-15	1E-30	1E-10	1E10	4.35E-9	0.022	1E10	1E-30	2710	1E10	6.01E-8	168	1E10	2.17E-8	7.01	1E10	2.69E-9	0.0416	8.23E-8	1.5E-15	310	7E-10	3.19E-14	4.5E-4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
