BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-14	1E-30	1E-10	1E10	2.95E-10	0.013	1E10	1E-30	3E3	1E10	5E-7	1200	1E10	3.5E-8	220	1E10	3E-9	9	1E10	2.5E-7	400	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	1E-14	1E-30	1E-10	1E10	2.95E-10	0.013	1E10	1E-30	3E3	1E10	5E-7	1200	1E10	3.5E-8	220	1E10	3E-9	9	1E10	2.5E-7	400	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1E-14	1E-30	1E-10	1E10	3.7E-10	0.025	1E10	1E-30	3E3	1E10	5E-7	800	1E10	3.5E-8	200	1E10	3E-9	11	1E10	2.5E-7	400	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1E-14	1E-30	1E-10	1E10	3.7E-10	0.025	1E10	1E-30	3E3	1E10	5E-7	800	1E10	3.5E-8	200	1E10	3E-9	11	1E10	2.5E-7	400	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	3E-14	1E-30	1E-10	1E10	5.03E-10	0.025	1E10	1E-30	3E3	1E10	1.7E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	3E-14	1E-30	1E-10	1E10	5.03E-10	0.025	1E10	1E-30	3E3	1E10	1.7E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2E-14	1E-30	1E-10	1E10	6E-10	0.025	1E10	1E-30	3E3	1E10	1.6E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2E-14	1E-30	1E-10	1E10	6E-10	0.025	1E10	1E-30	3E3	1E10	1.6E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2E-14	1E-30	1E-10	1E10	7.2E-10	0.035	1E10	1E-30	3E3	1E10	1.6E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2E-14	1E-30	1E-10	1E10	7.2E-10	0.035	1E10	1E-30	3E3	1E10	1.6E-8	20	1E10	4E-8	400	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2E-14	1E-30	1E-10	1E10	8.4E-10	0.035	1E10	1E-30	3E3	1E10	1.8E-8	20	1E10	4E-8	40	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2E-14	1E-30	1E-10	1E10	8.4E-10	0.035	1E10	1E-30	3E3	1E10	1.8E-8	20	1E10	4E-8	40	1E10	1E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	3E-14	1E-30	1E-10	1E10	9.6E-10	0.045	1E10	1E-30	3E3	1E10	1.9E-8	20	1E10	5E-8	400	1E10	1.3E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	3E-14	1E-30	1E-10	1E10	9.6E-10	0.045	1E10	1E-30	3E3	1E10	1.9E-8	20	1E10	5E-8	400	1E10	1.3E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	3E-14	1E-30	1E-10	1E10	1.07E-9	0.045	1E10	1E-30	3200	1E10	1.9E-8	20	1E10	5E-8	400	1E10	1.3E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	3E-14	1E-30	1E-10	1E10	1.07E-9	0.045	1E10	1E-30	3200	1E10	1.9E-8	20	1E10	5E-8	400	1E10	1.3E-8	60	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	3E-14	1E-30	1E-10	1E10	1.16E-9	0.1	1E10	1E-30	3E3	1E10	2.4E-8	140	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	3E-14	1E-30	1E-10	1E10	1.16E-9	0.1	1E10	1E-30	3E3	1E10	2.4E-8	140	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	4E-14	1E-30	1E-10	1E10	1.28E-9	0.1	1E10	1E-30	4500	1E10	2.6E-8	200	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	4E-14	1E-30	1E-10	1E10	1.28E-9	0.1	1E10	1E-30	4500	1E10	2.6E-8	200	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	4E-14	1E-30	1E-10	1E10	1.4E-9	0.11	1E10	1E-30	4700	1E10	2.8E-8	200	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
22	4E-14	1E-30	1E-10	1E10	1.4E-9	0.11	1E10	1E-30	4700	1E10	2.8E-8	200	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
23	3.5E-14	1E-30	1E-10	1E10	1.5E-9	0.14	1E10	1E-30	4700	1E10	3.6E-8	320	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
24	3.5E-14	1E-30	1E-10	1E10	1.5E-9	0.14	1E10	1E-30	4700	1E10	3.6E-8	320	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
25	4.9E-14	1E-30	1E-10	1E10	1.6E-9	0.141	1E10	1E-30	4700	1E10	3.7E-8	300	1E10	8E-8	500	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
26	4.9E-14	1E-30	1E-10	1E10	1.6E-9	0.141	1E10	1E-30	4700	1E10	3.7E-8	300	1E10	8E-8	500	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
27	3.5E-14	1E-30	1E-10	1E10	1.75E-9	0.148	1E10	1E-30	4700	1E10	3.8E-8	300	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
28	3.5E-14	1E-30	1E-10	1E10	1.75E-9	0.148	1E10	1E-30	4700	1E10	3.8E-8	300	1E10	8E-8	400	1E10	2.5E-8	30	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
29	4.08E-14	1E-30	1E-10	1E10	1.87E-9	0.148	1E10	1E-30	4E3	1E10	5E-8	350	1E10	8E-8	400	1E10	2.5E-8	31	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
30	4.08E-14	1E-30	1E-10	1E10	1.87E-9	0.148	1E10	1E-30	4E3	1E10	5E-8	350	1E10	8E-8	400	1E10	2.5E-8	31	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
31	4E-14	1E-30	1E-10	1E10	1.93E-9	0.165	1E10	1E-30	5E3	1E10	3.6E-8	300	1E10	4E-7	400	1E10	3.2E-8	45	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
32	4E-14	1E-30	1E-10	1E10	1.93E-9	0.165	1E10	1E-30	5E3	1E10	3.6E-8	300	1E10	4E-7	400	1E10	3.2E-8	45	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
33	4.25E-14	1E-30	1E-10	1E10	2.06E-9	0.185	1E10	1E-30	5E3	1E10	4E-8	300	1E10	4E-7	400	1E10	3.2E-8	45	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
34	4.25E-14	1E-30	1E-10	1E10	2.06E-9	0.185	1E10	1E-30	5E3	1E10	4E-8	300	1E10	4E-7	400	1E10	3.2E-8	45	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
35	4.5E-14	1E-30	1E-10	1E10	2.19E-9	0.18	1E10	1E-30	5E3	1E10	4.25E-8	300	1E10	4E-7	400	1E10	2.8E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
36	4.5E-14	1E-30	1E-10	1E10	2.19E-9	0.18	1E10	1E-30	5E3	1E10	4.25E-8	300	1E10	4E-7	400	1E10	2.8E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
37	5.1E-14	1E-30	1E-10	1E10	2.3E-9	0.2	1E10	1E-30	5E3	1E10	4.5E-8	300	1E10	4E-7	400	1E10	3.2E-8	37	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
38	5.1E-14	1E-30	1E-10	1E10	2.3E-9	0.2	1E10	1E-30	5E3	1E10	4.5E-8	300	1E10	4E-7	400	1E10	3.2E-8	37	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
39	5.5E-14	1E-30	1E-10	1E10	2.42E-9	0.195	1E10	1E-30	5E3	1E10	4.7E-8	300	1E10	4E-7	400	1E10	3E-8	38	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
40	5.5E-14	1E-30	1E-10	1E10	2.42E-9	0.195	1E10	1E-30	5E3	1E10	4.7E-8	300	1E10	4E-7	400	1E10	3E-8	38	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
41	4.25E-14	1E-30	1E-10	1E10	2.55E-9	0.195	1E10	1E-30	5E3	1E10	4.8E-8	300	1E10	4E-7	400	1E10	3E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
42	4.25E-14	1E-30	1E-10	1E10	2.55E-9	0.195	1E10	1E-30	5E3	1E10	4.8E-8	300	1E10	4E-7	400	1E10	3E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
43	4.72E-14	1E-30	1E-10	1E10	2.67E-9	0.175	1E10	1E-30	5E3	1E10	5.2E-8	300	1E10	4E-7	400	1E10	3E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
44	4.72E-14	1E-30	1E-10	1E10	2.67E-9	0.175	1E10	1E-30	5E3	1E10	5.2E-8	300	1E10	4E-7	400	1E10	3E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
45	3.95E-14	1E-30	1E-10	1E10	2.65E-9	0.275	1E10	1E-30	5E3	1E10	5.5E-8	300	1E10	5.5E-7	1200	1E10	8E-8	200	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
46	3.95E-14	1E-30	1E-10	1E10	2.65E-9	0.275	1E10	1E-30	5E3	1E10	5.5E-8	300	1E10	5.5E-7	1200	1E10	8E-8	200	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
