BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.05E-15	1E-30	1E-10	1E10	2.4E-9	0.02	1E10	1E-30	1140	1E10	1.18E-9	0.0963	1E10	1.6E-8	34.8	1E10	2.23E-8	87.6	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	1.52E-15	1E-30	1E-10	1E10	4.17E-9	0.045	1E10	1E-30	1140	1E10	1.1E-9	0.0963	1E10	1.27E-8	25.2	1E10	2.03E-8	66.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1.17E-14	1E-30	1E-10	1E10	2.69E-9	0.055	1E10	1E-30	1600	1E10	3.06E-9	0.253	1E10	2.78E-8	57.5	1E10	4.7E-8	137	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.44E-14	1E-30	1E-10	1E10	2.82E-9	0.077	1E10	1E-30	1670	1E10	2.74E-9	0.291	1E10	2.37E-8	75.8	1E10	3.82E-7	1440	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	3.87E-14	1E-30	1E-10	1E10	3.09E-9	0.06	1E10	1E-30	2100	1E10	3.45E-9	0.35	1E10	3.2E-8	93.3	1E10	1.18E-7	657	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.44E-14	1E-30	1E-10	1E10	1.78E-9	0.083	1E10	1E-30	2100	1E10	5.71E-8	0.861	1E10	2.54E-8	30.9	1E10	5.89E-8	361	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.44E-14	1E-30	1E-10	1E10	1.95E-9	0.13	1E10	1E-30	2100	1E10	5.71E-8	0.861	1E10	2.6E-8	30.9	1E10	5.37E-8	307	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.44E-14	1E-30	1E-10	1E10	2.14E-9	0.13	1E10	1E-30	2200	1E10	5.71E-8	0.861	1E10	2.6E-8	30.9	1E10	5.49E-8	307	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	3.21E-14	1E-30	1E-10	1E10	2.7E-9	0.05	1E10	1E-30	3040	1E10	5.98E-8	0.638	1E10	4.62E-8	35.5	1E10	8.7E-8	387	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.57E-14	1E-30	1E-10	1E10	4.39E-9	0.06	1E10	1E-30	2550	1E10	6.46E-9	0.533	1E10	6.12E-8	54.5	1E10	6.42E-8	230	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	3.24E-14	1E-30	1E-10	1E10	2.97E-9	0.08	1E10	1E-30	2730	1E10	2.04E-8	1.62	1E10	6.12E-8	75.2	1E10	7.04E-8	290	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2E-14	1E-30	1E-10	1E10	3.41E-9	0.18	1E10	1E-30	2490	1E10	1.41E-8	1.66	1E10	6.12E-8	99.1	1E10	8.27E-8	283	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	3.89E-14	1E-30	1E-10	1E10	3.74E-9	0.052	1E10	1E-30	3440	1E10	1.41E-8	1.66	1E10	6.71E-8	99.1	1E10	1.09E-7	564	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	4.17E-14	1E-30	1E-10	1E10	3.65E-9	0.066	1E10	1E-30	3440	1E10	1.35E-8	1.41	1E10	6.71E-8	90.4	1E10	1.22E-7	564	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	2.69E-14	1E-30	1E-10	1E10	3.65E-9	0.088	1E10	1E-30	3440	1E10	1.48E-8	1.41	1E10	6.12E-8	90.4	1E10	1.22E-7	710	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	2.57E-14	1E-30	1E-10	1E10	4.1E-9	0.12	1E10	1E-30	3440	1E10	1.59E-8	1.38	1E10	6.26E-8	67	1E10	9.46E-8	428	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	2.51E-14	1E-30	1E-10	1E10	3.92E-9	0.12	1E10	1E-30	3440	1E10	1.7E-8	1.38	1E10	5.98E-8	73.5	1E10	9.03E-8	459	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	2.69E-14	1E-30	1E-10	1E10	4.2E-9	0.19	1E10	1E-30	3210	1E10	1.32E-8	1.29	1E10	6.56E-8	75.2	1E10	9.03E-8	492	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	2.69E-14	1E-30	1E-10	1E10	4.3E-9	0.19	1E10	1E-30	3210	1E10	1.32E-8	1.29	1E10	6.56E-8	75.2	1E10	9.9E-8	492	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	2.82E-14	1E-30	1E-10	1E10	4.82E-9	0.058	1E10	1E-30	4230	1E10	1.74E-8	1.29	1E10	6.12E-8	75.2	1E10	1.72E-7	982	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	2.14E-14	1E-30	1E-10	1E10	5.41E-9	0.1	1E10	1E-30	4040	1E10	1.74E-8	1.29	1E10	7.88E-8	75.2	1E10	1.37E-7	620	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
22	3.02E-14	1E-30	1E-10	1E10	5.66E-9	0.067	1E10	1E-30	4230	1E10	2.29E-8	1.29	1E10	8.64E-8	75.2	1E10	1.5E-7	565	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
23	2.57E-14	1E-30	1E-10	1E10	6.5E-9	0.11	1E10	1E-30	4530	1E10	2.29E-8	1.29	1E10	9.47E-8	75.2	1E10	1.61E-7	605	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
24	2.47E-14	1E-30	1E-10	1E10	5.25E-9	0.17	1E10	1E-30	18500	1E10	7.67E-8	56.2	1E10	1.7E-7	749	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
25	2.53E-14	1E-30	1E-10	1E10	5.37E-9	0.27	1E10	1E-30	18500	1E10	9.66E-8	56.2	1E10	1.55E-7	715	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
26	2.53E-14	1E-30	1E-10	1E10	5.37E-9	0.13	1E10	1E-30	18500	1E10	8.41E-8	56.2	1E10	1.74E-7	715	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
27	2.57E-14	1E-30	1E-10	1E10	8.37E-9	0.18	1E10	1E-30	5840	1E10	2.29E-8	1.29	1E10	1.09E-7	75.2	1E10	1.65E-7	727	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
28	2.65E-14	1E-30	1E-10	1E10	6.76E-9	0.15	1E10	1E-30	18500	1E10	1.13E-7	56.2	1E10	1.95E-7	715	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
29	3.11E-14	1E-30	1E-10	1E10	7.41E-9	0.2	1E10	1E-30	18500	1E10	1.13E-7	56.2	1E10	2E-7	715	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
30	2.63E-14	1E-30	1E-10	1E10	1.13E-8	0.21	1E10	1E-30	7700	1E10	2.45E-8	1.29	1E10	1.37E-7	104	1E10	2.18E-7	1E3	2.42E-16	3.01E-7	3980	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
