BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.21E-14	1E-30	1E-10	1E10	1.06E-9	0.02	1E10	1E-30	9020	1E10	2.34E-8	20.6	1E10	6.6E-8	398	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.21E-14	1E-30	1E-10	1E10	1.06E-9	0.02	1E10	1E-30	9020	1E10	2.34E-8	20.6	1E10	6.6E-8	398	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	7.85E-14	1E-30	1E-10	1E10	1.91E-9	0.04	1E10	1E-30	5270	1E10	9.69E-9	2.49	1E10	2.75E-8	50	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	7.85E-14	1E-30	1E-10	1E10	1.91E-9	0.04	1E10	1E-30	5270	1E10	9.69E-9	2.49	1E10	2.75E-8	50	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	7.33E-14	1E-30	1E-10	1E10	2E-9	0.04	1E10	1E-30	6050	1E10	1.25E-8	2.49	1E10	2.75E-8	50	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	7.33E-14	1E-30	1E-10	1E10	2E-9	0.04	1E10	1E-30	6050	1E10	1.25E-8	2.49	1E10	2.75E-8	50	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.04E-14	1E-30	1E-10	1E10	1.74E-9	0.04	1E10	1E-30	1910	1E10	2.67E-8	1.74	1E10	4.58E-8	28.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.04E-14	1E-30	1E-10	1E10	1.74E-9	0.04	1E10	1E-30	1910	1E10	2.67E-8	1.74	1E10	4.58E-8	28.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	6.68E-14	1E-30	1E-10	1E10	2.19E-9	0.08	1E10	1E-30	6050	1E10	1.22E-8	2.49	1E10	2.95E-8	65.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	6.68E-14	1E-30	1E-10	1E10	2.19E-9	0.08	1E10	1E-30	6050	1E10	1.22E-8	2.49	1E10	2.95E-8	65.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	5.31E-14	1E-30	1E-10	1E10	2.63E-9	0.05	1E10	1E-30	6050	1E10	1.5E-8	2.49	1E10	5.01E-8	102	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	5.31E-14	1E-30	1E-10	1E10	2.63E-9	0.05	1E10	1E-30	6050	1E10	1.5E-8	2.49	1E10	5.01E-8	102	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	4.95E-14	1E-30	1E-10	1E10	2.81E-9	0.08	1E10	1E-30	4810	1E10	1.64E-8	2.49	1E10	4.17E-8	84.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	4.95E-14	1E-30	1E-10	1E10	2.81E-9	0.08	1E10	1E-30	4810	1E10	1.64E-8	2.49	1E10	4.17E-8	84.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	4.51E-14	1E-30	1E-10	1E10	2.88E-9	0.05	1E10	1E-30	7620	1E10	3.37E-8	14.9	1E10	1.11E-7	389	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	4.51E-14	1E-30	1E-10	1E10	2.88E-9	0.05	1E10	1E-30	7620	1E10	3.37E-8	14.9	1E10	1.11E-7	389	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	1.09E-14	1E-30	1E-10	1E10	2.74E-9	0.05	1E10	1E-30	14300	1E10	4.64E-8	25.1	1E10	1.02E-7	417	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	1.09E-14	1E-30	1E-10	1E10	2.74E-9	0.05	1E10	1E-30	14300	1E10	4.64E-8	25.1	1E10	1.02E-7	417	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	4.41E-14	1E-30	1E-10	1E10	3.02E-9	0.05	1E10	1E-30	9590	1E10	2.33E-8	4.28	1E10	7.64E-8	236	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	4.41E-14	1E-30	1E-10	1E10	3.02E-9	0.05	1E10	1E-30	9590	1E10	2.33E-8	4.28	1E10	7.64E-8	236	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	4.31E-14	1E-30	1E-10	1E10	3.02E-9	0.08	1E10	1E-30	5780	1E10	1.92E-8	4.53	1E10	6.96E-8	146	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
22	4.31E-14	1E-30	1E-10	1E10	3.02E-9	0.08	1E10	1E-30	5780	1E10	1.92E-8	4.53	1E10	6.96E-8	146	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
23	2.29E-14	1E-30	1E-10	1E10	3.13E-9	0.05	1E10	1E-30	15E3	1E10	4.69E-8	24.8	1E10	1.25E-7	470	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
