BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.68867827576009E-06	1E10	10638297.8723404	1E-30	2.26924198423883E-10	1E10	1E-30	1E10	5.22488268018193E-03	1.38984900142833E-04	1E10	23.8943869169991	1.50620612571102E-04	1E10	2.66196846731013	1.46172539859518E-04	1E10	0.38568501023517	1.39031159531657E-04	1E10	0.054569077289172	8.58327474962097E-05	1E10	1.09964241139736E-02	1E-30	1.9103978103495E-11	0.153090899526403	1E-30	3.83787300972714E-11	5.65315771161467E-02	1E-30	1.98615897044549E-10	2.50204244793605E-02	2.64804763192005E-05	2.0313314186196E-11	2.51985683166377E-03	2.8713847171237E-06	8.24390984874734E-11	7.58991457396107E-03	2.59182063818752E-12	1.12322210239809E-10	60.7514889551252	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	3.6023548051239E-06	1E10	10638297.8723404	1E-30	4.15320805334346E-10	1E10	1E-30	1E10	5.1185286055946E-03	1.3067458250367E-04	1E10	83.133896213579	1.8145165581867E-04	1E10	5.59709251364113	2.01091693592707E-04	1E10	0.727646448784761	2.31142275523677E-04	1E10	0.116372856531945	1.77882080383358E-04	1E10	0.031060765281972	1.07680130100555E-04	1E10	7.97160155219091E-03	1E-30	1.97345401674257E-11	0.162462688389414	1E-30	3.08125724720789E-11	3.72476095730102E-02	1E-30	2.3873549821295E-10	2.38846210601656E-02	1.2445534614207E-05	5.12601508281636E-11	4.93389357425376E-03	5.08921449543329E-06	5.93792607950401E-11	6.46088436414007E-03	9.70498916265819E-12	3.11599252839183E-11	5.79920833382354	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	3.6023548051239E-06	1E10	10638297.8723404	1E-30	4.15320805334346E-10	1E10	1E-30	1E10	5.1185286055946E-03	1.3067458250367E-04	1E10	83.133896213579	1.8145165581867E-04	1E10	5.59709251364113	2.01091693592707E-04	1E10	0.727646448784761	2.31142275523677E-04	1E10	0.116372856531945	1.77882080383358E-04	1E10	0.031060765281972	1.07680130100555E-04	1E10	7.97160155219091E-03	1E-30	1.97345401674257E-11	0.162462688389414	1E-30	3.08125724720789E-11	3.72476095730102E-02	1E-30	2.3873549821295E-10	2.38846210601656E-02	1.2445534614207E-05	5.12601508281636E-11	4.93389357425376E-03	5.08921449543329E-06	5.93792607950401E-11	6.46088436414007E-03	9.70498916265819E-12	3.11599252839183E-11	5.79920833382354	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	6.96865018489967E-06	1E10	5E6	1E-30	2.82135755708406E-10	1E10	1E-30	1E10	3.41108739678974E-03	3.07349783562335E-04	1E10	4.79755719408785	3.20674749374818E-04	1E10	0.565363970187263	3.02543543417178E-04	1E10	7.21408522483501E-02	2.77000709713741E-04	1E10	9.79950179307061E-03	3.39429249677631E-04	1E10	2.03977800206057E-03	1E-30	2.05422659424111E-11	9.75298514843394E-02	1E-30	4.91380769136533E-11	3.98425397237675E-02	1E-30	3.50347544832962E-10	1.70782926855423E-02	3.89273164173423E-05	3.58665216526715E-11	3.5232990856858E-03	2.5650030039566E-05	3.11213332824584E-11	3.81868557341271E-03	3.08470219365871E-12	1.0837659107086E-10	33.9185933177952	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.68109771890846E-05	1E10	2272727.27272727	1E-30	3.82199752070489E-10	1E10	1E-30	1E10	2.70513960565795E-03	6.13937348582767E-04	1E10	10.3203892417005	1.22972061234178E-03	1E10	0.471500372978968	1.22464278785365E-03	1E10	0.062541397056343	1.28153799883896E-03	1E10	6.68948716145406E-03	5.18352354919417E-04	1E10	8.13415232848762E-04	1E-30	2.61341066632389E-11	0.155603837971996	1E-30	6.65008015517459E-11	3.44609362110087E-02	1E-30	2.49900516620524E-10	1.39484813027277E-02	5.91527058441772E-06	2.45872549569479E-10	4.53896967840522E-03	2.8742148844976E-11	1.99913814927601E-11	2.0695852796055	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.68109771890846E-05	1E10	2272727.27272727	1E-30	3.82199752070489E-10	1E10	1E-30	1E10	2.70513960565795E-03	6.13937348582767E-04	1E10	10.3203892417005	1.22972061234178E-03	1E10	0.471500372978968	1.22464278785365E-03	1E10	0.062541397056343	1.28153799883896E-03	1E10	6.68948716145406E-03	5.18352354919417E-04	1E10	8.13415232848762E-04	1E-30	2.61341066632389E-11	0.155603837971996	1E-30	6.65008015517459E-11	3.44609362110087E-02	1E-30	2.49900516620524E-10	1.39484813027277E-02	5.91527058441772E-06	2.45872549569479E-10	4.53896967840522E-03	2.8742148844976E-11	1.99913814927601E-11	2.0695852796055	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.79320520687795E-05	1E10	2272727.27272727	1E-30	2.91068257577196E-10	1E10	1E-30	1E10	3.07228799511054E-03	1.08065777122283E-03	1E10	4.90919966616879	1.36320389139692E-03	1E10	0.61206750252896	1.37394916475959E-03	1E10	9.60174612807299E-02	1.5924648906763E-03	1E10	1.39476362789015E-02	9.24836670559843E-04	1E10	2.15997642433234E-03	1E-30	3.67793253355703E-11	8.76254785618046E-02	1E-30	9.0305293376778E-11	2.41852874260631E-02	1E-30	2.82500310049757E-10	1.03906244466136E-02	5.64558220540435E-05	7.07907542271608E-11	1.48345818469748E-03	2.192263521652E-05	8.39606329112027E-11	2.46586116019355E-03	1.13512977452831E-11	4.85185983035382E-11	3.34774244748514	8.31958362078457E-12	3.60336150370146E-11	43.628075024167	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.33690746366199E-05	1E10	1063829.78723404	1E-30	3.71021196826975E-10	1E10	1E-30	1E10	2.0481967933841E-03	1.51468047386288E-03	1E10	3.50249762987972	2.26981405785463E-03	1E10	0.220918713711234	2.51677760149537E-03	1E10	3.05463052443495E-02	3.10350989426792E-03	1E10	3.05034926688669E-03	3.91935559149929E-04	1E10	1.1008362179487E-03	1E-30	4.18282030918533E-11	7.04754516695792E-02	1E-30	9.23149626627159E-11	1.75626548763811E-02	1E-30	3.18886012435354E-10	8.91541060281611E-03	1.74458027635171E-05	3.10533974267369E-10	3.08392919695092E-03	2.31960116907325E-11	3.27005536679035E-11	1.68998016893945	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
END DSCRDATA
